type_th,category,shelf_life_days,storage_min_c,storage_max_c,chill_sensitive,ripens,note
ทุเรียน,fruit,7,13,15,1,1,ห้ามเก็บต่ำกว่า 13°C
มะม่วง,fruit,14,10,13,1,1,ต่ำกว่า 10°C ผิวคล้ำ
มังคุด,fruit,21,13,13,1,0,เปลือกแข็งถ้าเย็นเกิน
กล้วย,fruit,10,13,14,1,1,ต่ำกว่า 13°C ผิวดำ
สับปะรด,fruit,21,7,13,1,0,
มะพร้าว,fruit,21,0,4,0,0,
เงาะ,fruit,10,10,12,1,0,ขนดำเร็วถ้าแห้ง
ลองกอง,fruit,10,12,15,1,0,
ลางสาด,fruit,7,12,15,1,0,
ลิ้นจี่,fruit,14,2,5,0,0,
ลำไย,fruit,21,2,5,0,0,
มะละกอ,fruit,10,10,13,1,1,
แก้วมังกร,fruit,21,7,10,1,0,
เสาวรส,fruit,21,7,10,1,1,
ส้ม,fruit,28,5,8,0,0,
ส้มโอ,fruit,42,8,10,0,0,
องุ่น,fruit,28,0,1,0,0,
ฝรั่ง,fruit,14,8,10,1,1,
พุทรา,fruit,14,5,10,0,0,
สตรอว์เบอร์รี,fruit,5,0,2,0,0,เน่าเร็ว
แอปเปิล,fruit,60,0,4,0,0,
พลับ,fruit,21,0,2,0,1,
พีช / ท้อ,fruit,10,0,2,0,1,
กีวี่,fruit,42,0,1,0,1,
แตงโม,fruit,14,10,15,1,0,
เมลอน,fruit,14,7,10,1,1,
แคนตาลูป,fruit,14,2,5,0,1,
พริก,vegetable,14,7,10,1,0,
พริกหวาน,vegetable,14,7,10,1,0,
มะเขือเทศ,vegetable,10,10,13,1,1,ต่ำกว่า 10°C เนื้อฟ่าม
แตงกวา,vegetable,10,10,12,1,0,
ผักกาดหอม / สลัด,vegetable,7,0,4,0,0,ผักใบสด
คะน้า,vegetable,7,0,4,0,0,
ผักบุ้ง,vegetable,4,0,4,0,0,
กวางตุ้ง,vegetable,5,0,4,0,0,
กะหล่ำปลี,vegetable,30,0,4,0,0,
ผักกาดขาว,vegetable,21,0,4,0,0,
ผักชี,vegetable,5,0,4,0,0,
ขึ้นฉ่าย,vegetable,14,0,4,0,0,
ถั่วฝักยาว,vegetable,7,7,10,1,0,
ถั่วพู,vegetable,5,7,10,1,0,
ถั่วลันเตา,vegetable,7,0,4,0,0,
มะเขือ,vegetable,10,10,12,1,0,
ฟักทอง,vegetable,60,10,15,1,0,
บวบ,vegetable,7,10,12,1,0,
มะระ,vegetable,10,10,12,1,0,
ฟักเขียว,vegetable,60,10,15,1,0,
แฟง,vegetable,30,10,15,1,0,
หอมแดง,vegetable,90,0,5,0,0,เก็บได้เป็นเดือน
หอมหัวใหญ่,vegetable,90,0,5,0,0,
กระเทียม,vegetable,120,0,5,0,0,
ขิง,vegetable,30,12,14,1,0,
ข่า,vegetable,21,12,14,1,0,
ตะไคร้,vegetable,14,10,13,1,0,
กะเพรา,vegetable,5,10,13,1,0,ใบดำถ้าเย็นเกิน
โหระพา,vegetable,5,10,13,1,0,
แมงลัก,vegetable,4,10,13,1,0,
มะกรูด,vegetable,14,10,13,1,0,
มะนาว,vegetable,21,8,10,1,0,
แครอท,vegetable,30,0,4,0,0,
หัวไชเท้า,vegetable,14,0,4,0,0,
มันฝรั่ง,vegetable,60,7,10,1,0,ต่ำกว่า 7°C แป้งเปลี่ยนเป็นน้ำตาล
มันเทศ,vegetable,45,13,15,1,0,
เผือก,vegetable,30,10,13,1,0,
มันแกว,vegetable,21,12,15,1,0,
บรอกโคลี,vegetable,7,0,4,0,0,
กะหล่ำดอก,vegetable,10,0,4,0,0,
ดอกกุยช่าย,vegetable,5,0,4,0,0,
ดอกแค,vegetable,3,0,4,0,0,
ดอกขจร / สลิด,vegetable,3,0,4,0,0,
ตำลึง,vegetable,4,0,4,0,0,
ชะอม,vegetable,4,0,4,0,0,
ผักหวาน,vegetable,4,0,4,0,0,
ใบเหลียง,vegetable,5,0,4,0,0,
สะดาด / สะเดา,vegetable,4,0,4,0,0,
