Category_TH,Category_EN,Type_TH,Type_EN,Variant_TH,Variant_EN
ไม้ดอกหลัก,Main Flowers,เบญจมาศ,Chrysanthemum,มูลันสีชมพู,Mulan Pink
ไม้ดอกหลัก,Main Flowers,เบญจมาศ,Chrysanthemum,เรดดีสีแดง,Reddy Red
ไม้ดอกหลัก,Main Flowers,เบญจมาศ,Chrysanthemum,กระดุมสีเขียว,Green Button
ไม้ดอกหลัก,Main Flowers,เบญจมาศ,Chrysanthemum,ขาวมาเลเซียสีขาว,Malaysian White
ไม้ดอกหลัก,Main Flowers,เบญจมาศ,Chrysanthemum,เหลืองขมิ้นสีเหลือง,Khamin Yellow
ไม้ดอกหลัก,Main Flowers,กุหลาบ,Rose,แบ็กคาร่าสีแดงเข้ม,Black Baccara Dark Red
ไม้ดอกหลัก,Main Flowers,กุหลาบ,Rose,อวาลานช์สีขาว,Avalanche White
ไม้ดอกหลัก,Main Flowers,กุหลาบ,Rose,โซเฟียลอเรนสีชมพู,Sophia Loren Pink
ไม้ดอกหลัก,Main Flowers,กุหลาบ,Rose,ว้าวสีส้ม,Wow Orange
ไม้ดอกหลัก,Main Flowers,กุหลาบ,Rose,ไร้หนามโครงการหลวงสีชมพูพาสเทล,Royal Project Thornless Pastel Pink
ไม้ดอกหลัก,Main Flowers,กล้วยไม้,Orchid,หวายสีโจแดง,Dendrobium Jo Red
ไม้ดอกหลัก,Main Flowers,กล้วยไม้,Orchid,หวายสีบอมชมพู,Dendrobium Bom Pink
ไม้ดอกหลัก,Main Flowers,กล้วยไม้,Orchid,หวายสีขาวสนาน,Dendrobium Sanan White
ไม้ดอกหลัก,Main Flowers,กล้วยไม้,Orchid,แวนด้าสีส้ม,Vanda Orange
ไม้ดอกหลัก,Main Flowers,กล้วยไม้,Orchid,ออนซิเดียมสีเหลืองทอง,Oncidium Golden Yellow
ไม้ดอกหลัก,Main Flowers,เยอบีร่า,Gerbera,เรดร็อคสีแดง,Red Rock Red
ไม้ดอกหลัก,Main Flowers,เยอบีร่า,Gerbera,ดักลาสสีเหลือง,Douglas Yellow
ไม้ดอกหลัก,Main Flowers,เยอบีร่า,Gerbera,ออโรร่าสีส้ม,Aurora Orange
ไม้ดอกหลัก,Main Flowers,เยอบีร่า,Gerbera,นาตาชาสีชมพู,Natasha Pink
ไม้ดอกหลัก,Main Flowers,ลิลลี่,Lily,คาซาบลังก้าสีขาว,Casablanca White
ไม้ดอกหลัก,Main Flowers,ลิลลี่,Lily,ซอร์บอนน์สีชมพู,Sorbonne Pink
ไม้ดอกหลัก,Main Flowers,ลิลลี่,Lily,ทีโบว์สีเหลือง,Teepee Yellow
ไม้ดอกหลัก,Main Flowers,ปทุมมา,Siam Tulip,เชียงใหม่พิงค์สีชมพู,Chiang Mai Pink
ไม้ดอกหลัก,Main Flowers,ปทุมมา,Siam Tulip,ขาวมุกสีขาว,Pearl White
ไม้ดอกหลัก,Main Flowers,ปทุมมา,Siam Tulip,ลัดดาวรรณสีแดง,Laddawan Red
ไม้ดอกหลัก,Main Flowers,ปทุมมา,Siam Tulip,ช็อคโกแลตสีน้ำตาลแดง,Chocolate Red-Brown
ไม้ดอกหลัก,Main Flowers,หน้าวัว,Anthurium,เปลวเทียนสีแดง,Plew Thian Red
ไม้ดอกหลัก,Main Flowers,หน้าวัว,Anthurium,ดารินสีชมพู,Darin Pink
ไม้ดอกหลัก,Main Flowers,หน้าวัว,Anthurium,ขาวดวงตาสีขาว,Khao Duangta White
ไม้ดอกหลัก,Main Flowers,หน้าวัว,Anthurium,เอลซ่าสีเขียว,Elsa Green
ไม้ดอกหลัก,Main Flowers,คาร์เนชัน,Carnation,คาร์เนชันสีชมพูคลาสสิก,Classic Pink Carnation
ไม้ดอกหลัก,Main Flowers,คาร์เนชัน,Carnation,คาร์เนชันสีแดงสเปน,Spanish Red Carnation
ไม้ดอกหลัก,Main Flowers,คาร์เนชัน,Carnation,คาร์เนชันสีส้มพีช,Peach Orange Carnation
ไม้ดอกหลัก,Main Flowers,คาร์เนชัน,Carnation,คาร์เนชันสีเขียวแอปเปิ้ล,Apple Green Carnation
ไม้ดอกหลัก,Main Flowers,ทานตะวัน,Sunflower,วินเซนต์ชอยส์สีส้มทอง,Vincent Choice Orange-Gold
ไม้ดอกหลัก,Main Flowers,ทานตะวัน,Sunflower,ซันริชสีเหลืองเข้ม,Sunrich Deep Yellow
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,มากาเร็ต,Margaret,มากาเร็ตสีม่วงเข้ม,Deep Purple Margaret
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,มากาเร็ต,Margaret,มากาเร็ตสีม่วงอ่อน,Light Purple Margaret
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,มากาเร็ต,Margaret,มากาเร็ตสีชมพู,Pink Margaret
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,มากาเร็ต,Margaret,มากาเร็ตสีขาว,White Margaret
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,คัตเตอร์ / พีค็อก,Cutter & Peacock,คัตเตอร์สีขาว,White Cutter
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,คัตเตอร์ / พีค็อก,Cutter & Peacock,พีค็อกสีม่วง,Purple Peacock
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,คัตเตอร์ / พีค็อก,Cutter & Peacock,พีค็อกสีชมพู,Pink Peacock
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,ยิปโซ / ยิปซี,Gypsophila,ยิปโซสีขาว,White Gypsophila
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,ยิปโซ / ยิปซี,Gypsophila,ยิปซีสีชมพู,Pink Gypsy
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,ยิปโซ / ยิปซี,Gypsophila,ยิปโซย้อมสีรุ้ง,Rainbow Dyed Gypsophila
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแตติส,Statice,สแตติสสีม่วงเข้ม,Deep Purple Statice
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแตติส,Statice,สแตติสสีชมพู,Pink Statice
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแตติส,Statice,สแตติสสีเหลือง,Yellow Statice
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแตติส,Statice,สแตติสสีขาว,White Statice
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,ไฮเดรนเยีย,Hydrangea,ไฮเดรนเยียสีฟ้าอ่อน,Light Blue Hydrangea
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,ไฮเดรนเยีย,Hydrangea,ไฮเดรนเยียสีชมพูม่วง,Pink Purple Hydrangea
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,ไฮเดรนเยีย,Hydrangea,ไฮเดรนเยียสีขาว,White Hydrangea
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,อัลสโตรมีเรีย,Alstroemeria,อัลสโตรมีเรียสีชมพูลายเสือ,Tiger Pink Alstroemeria
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,อัลสโตรมีเรีย,Alstroemeria,อัลสโตรมีเรียสีขาวปากเหลือง,White Yellow Lip Alstroemeria
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,อัลสโตรมีเรีย,Alstroemeria,อัลสโตรมีเรียสีม่วงพาสเทล,Pastel Purple Alstroemeria
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแน็ปดรากอน / ปากมังกร,Snapdragon,สแน็ปดรากอนสีชมพูเข้ม,Deep Pink Snapdragon
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแน็ปดรากอน / ปากมังกร,Snapdragon,สแน็ปดรากอนสีเหลืองเลมอน,Lemon Yellow Snapdragon
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สแน็ปดรากอน / ปากมังกร,Snapdragon,สแน็ปดรากอนสีขาวนวล,Off-White Snapdragon
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,แกลดิโอลัส / ดอกซ่อนกลิ่นฝรั่ง,Gladiolus,แกลดิโอลัสสีแดงสด,Bright Red Gladiolus
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,แกลดิโอลัส / ดอกซ่อนกลิ่นฝรั่ง,Gladiolus,แกลดิโอลัสสีชมพูอมส้ม,Peach Pink Gladiolus
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,แกลดิโอลัส / ดอกซ่อนกลิ่นฝรั่ง,Gladiolus,แกลดิโอลัสสีเหลืองทอง,Golden Yellow Gladiolus
ไม้แซมและไม้จัดทุ่ง,Filler & Field Flowers,สร้อยทอง,Solidago,สร้อยทองสีเหลือง,Solidago Yellow
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ดาวเรือง,Marigold,ทองเฉลิมสีเหลืองทอง,Thong Chaloem Golden Yellow
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ดาวเรือง,Marigold,ดุ๊กสีส้ม,Duke Orange
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ดาวเรือง,Marigold,มะนาวสีเหลืองอ่อน,Lime Light Yellow
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,บัวหลวง,Lotus,สัตตบุตย์สีขาว,Sattabuttra White
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,บัวหลวง,Lotus,สัตตบงกชสีชมพู,Sattabongkot Pink
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,บัวหลวง,Lotus,ประทุมสีชมพูสด,Prathum Bright Pink
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ดอกรัก,Crown Flower,ดอกรักสีขาว,White Crown Flower
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ดอกรัก,Crown Flower,ดอกรักสีม่วง,Purple Crown Flower
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,มะลิ,Jasmine,มะลิลาสีขาว,Mali La White
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,มะลิ,Jasmine,มะลิซ้อนสีขาว,Mali Son Double White
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ซ่อนกลิ่นไทย,Tuberose,ซ่อนกลิ่นดอกซ้อนสีขาว,Double White Tuberose
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,ซ่อนกลิ่นไทย,Tuberose,ซ่อนกลิ่นดอกลาสีขาว,Single White Tuberose
ไม้ดอกวัฒนธรรมและพิธีกรรม,Traditional Flowers,พุด,Gardenia,ดอกพุดตูมสีขาว,Gardenia Bud White
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,ยูคาลิปตัส,Eucalyptus,ซิลเวอร์ดอลลาร์สีเขียวเงินใบกลม,Silver Dollar Eucalyptus
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,ยูคาลิปตัส,Eucalyptus,พาร์วิโฟเลียสีเขียวเข้มใบรี,Parvifolia Eucalyptus
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,เฟิร์น,Fern,ใบมะขามสีเขียวสด,Leatherleaf Fern
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,เฟิร์น,Fern,เฟิร์นนาคราชสีเขียวเข้ม,Davallia Fern
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,เฟิร์น,Fern,หนังขนนกสีเขียวโปร่ง,Asparagus Fern
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,เล็บครุฑ,Aralia,เล็บครุฑกระจกสีเขียวเข้ม,Geranium Aralia
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,เล็บครุฑ,Aralia,เล็บครุฑผักชีสีเขียวฝอย,Ming Aralia
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,หมากผู้หมากเมีย,Cordyline,ทับทิมสีแดงเข้ม,Ruby Cordyline
ไม้ตัดใบและใบไม้แซมช่อ,Cut Foliage,หมากผู้หมากเมีย,Cordyline,เขียวลายทางสีเขียวสลับขาว,Variegated Green Cordyline
